"","ID","Item","Prime","Training","Completion","X","X.1","subj","item","cond","resp","respcode","condcode"
"1",3,21,1,0,0,NA,NA,3,21,"DO","PO",0,0.5
"2",3,22,1,0,0,NA,NA,3,22,"DO","PO",0,0.5
"3",997,23,0,0,1,NA,NA,997,23,"PO","DO",1,-0.5
"4",997,24,0,0,1,NA,NA,997,24,"PO","DO",1,-0.5
"5",997,26,0,0,1,NA,NA,997,26,"PO","DO",1,-0.5
"6",997,22,0,0,0,NA,NA,997,22,"PO","PO",0,-0.5
"7",997,25,0,0,0,NA,NA,997,25,"PO","PO",0,-0.5
"8",7,23,1,0,1,NA,NA,7,23,"DO","DO",1,0.5
"9",7,21,1,0,0,NA,NA,7,21,"DO","PO",0,0.5
"10",995,22,0,0,0,NA,NA,995,22,"PO","PO",0,-0.5
"11",995,23,0,0,0,NA,NA,995,23,"PO","PO",0,-0.5
"12",995,25,0,0,0,NA,NA,995,25,"PO","PO",0,-0.5
"13",9,23,1,0,1,NA,NA,9,23,"DO","DO",1,0.5
"14",9,21,1,0,0,NA,NA,9,21,"DO","PO",0,0.5
"15",9,22,1,0,0,NA,NA,9,22,"DO","PO",0,0.5
"16",9,25,1,0,0,NA,NA,9,25,"DO","PO",0,0.5
"17",10,21,1,0,1,NA,NA,10,21,"DO","DO",1,0.5
"18",10,22,1,0,1,NA,NA,10,22,"DO","DO",1,0.5
"19",10,23,1,0,1,NA,NA,10,23,"DO","DO",1,0.5
"20",10,24,1,0,1,NA,NA,10,24,"DO","DO",1,0.5
"21",10,25,1,0,1,NA,NA,10,25,"DO","DO",1,0.5
"22",11,24,1,0,1,NA,NA,11,24,"DO","DO",1,0.5
"23",11,21,1,0,0,NA,NA,11,21,"DO","PO",0,0.5
"24",12,21,0,0,0,NA,NA,12,21,"PO","PO",0,-0.5
"25",12,23,0,0,0,NA,NA,12,23,"PO","PO",0,-0.5
"26",13,21,0,0,0,NA,NA,13,21,"PO","PO",0,-0.5
"27",13,22,0,0,0,NA,NA,13,22,"PO","PO",0,-0.5
"28",13,23,0,0,0,NA,NA,13,23,"PO","PO",0,-0.5
"29",13,24,0,0,0,NA,NA,13,24,"PO","PO",0,-0.5
"30",13,25,0,0,0,NA,NA,13,25,"PO","PO",0,-0.5
"31",14,21,0,0,1,NA,NA,14,21,"PO","DO",1,-0.5
"32",14,22,0,0,1,NA,NA,14,22,"PO","DO",1,-0.5
