"","ID","CTB","Item","Prime","Training","Completion","X","X.1","subj","item","cond","resp","respcode","condcode"
"1",6,2,21,0,1,0,NA,NA,6,21,"PO","PO",0,-0.5
"2",6,2,22,0,1,0,NA,NA,6,22,"PO","PO",0,-0.5
"3",6,2,23,0,1,0,NA,NA,6,23,"PO","PO",0,-0.5
"4",6,2,25,0,1,0,NA,NA,6,25,"PO","PO",0,-0.5
"5",9,1,21,1,1,1,NA,NA,9,21,"DO","DO",1,0.5
"6",9,1,22,1,1,1,NA,NA,9,22,"DO","DO",1,0.5
"7",9,1,23,1,1,1,NA,NA,9,23,"DO","DO",1,0.5
"8",9,1,24,1,1,1,NA,NA,9,24,"DO","DO",1,0.5
"9",9,1,25,1,1,1,NA,NA,9,25,"DO","DO",1,0.5
"10",9,1,26,1,1,1,NA,NA,9,26,"DO","DO",1,0.5
"11",10,2,22,0,1,0,NA,NA,10,22,"PO","PO",0,-0.5
"12",10,2,23,0,1,0,NA,NA,10,23,"PO","PO",0,-0.5
"13",14,2,26,0,1,1,NA,NA,14,26,"PO","DO",1,-0.5
"14",14,2,21,0,1,0,NA,NA,14,21,"PO","PO",0,-0.5
"15",14,2,22,0,1,0,NA,NA,14,22,"PO","PO",0,-0.5
"16",14,2,23,0,1,0,NA,NA,14,23,"PO","PO",0,-0.5
"17",14,2,24,0,1,0,NA,NA,14,24,"PO","PO",0,-0.5
"18",14,2,25,0,1,0,NA,NA,14,25,"PO","PO",0,-0.5
"19",17,1,21,1,1,1,NA,NA,17,21,"DO","DO",1,0.5
"20",17,1,22,1,1,1,NA,NA,17,22,"DO","DO",1,0.5
"21",17,1,25,1,1,1,NA,NA,17,25,"DO","DO",1,0.5
"22",17,1,26,1,1,1,NA,NA,17,26,"DO","DO",1,0.5
"23",17,1,23,1,1,0,NA,NA,17,23,"DO","PO",0,0.5
"24",17,1,24,1,1,0,NA,NA,17,24,"DO","PO",0,0.5
"25",18,2,21,0,1,0,NA,NA,18,21,"PO","PO",0,-0.5
"26",18,2,22,0,1,0,NA,NA,18,22,"PO","PO",0,-0.5
"27",18,2,23,0,1,0,NA,NA,18,23,"PO","PO",0,-0.5
"28",18,2,24,0,1,0,NA,NA,18,24,"PO","PO",0,-0.5
"29",18,2,25,0,1,0,NA,NA,18,25,"PO","PO",0,-0.5
"30",18,2,26,0,1,0,NA,NA,18,26,"PO","PO",0,-0.5
"31",21,1,21,1,1,1,NA,NA,21,21,"DO","DO",1,0.5
"32",21,1,24,1,1,1,NA,NA,21,24,"DO","DO",1,0.5
"33",21,1,26,1,1,1,NA,NA,21,26,"DO","DO",1,0.5
"34",21,1,23,1,1,0,NA,NA,21,23,"DO","PO",0,0.5
"35",21,1,25,1,1,0,NA,NA,21,25,"DO","PO",0,0.5
"36",22,2,25,0,1,1,NA,NA,22,25,"PO","DO",1,-0.5
"37",22,2,21,0,1,1,NA,NA,22,21,"PO","DO",1,-0.5
"38",22,2,22,0,1,1,NA,NA,22,22,"PO","DO",1,-0.5
"39",22,2,26,0,1,1,NA,NA,22,26,"PO","DO",1,-0.5
"40",22,2,23,0,1,0,NA,NA,22,23,"PO","PO",0,-0.5
"41",25,1,22,1,1,0,NA,NA,25,22,"DO","PO",0,0.5
"42",25,1,23,1,1,0,NA,NA,25,23,"DO","PO",0,0.5
"43",25,1,25,1,1,0,NA,NA,25,25,"DO","PO",0,0.5
"44",26,2,21,0,1,0,NA,NA,26,21,"PO","PO",0,-0.5
"45",26,2,23,0,1,0,NA,NA,26,23,"PO","PO",0,-0.5
"46",26,2,24,0,1,0,NA,NA,26,24,"PO","PO",0,-0.5
"47",26,2,25,0,1,0,NA,NA,26,25,"PO","PO",0,-0.5
"48",26,2,26,0,1,0,NA,NA,26,26,"PO","PO",0,-0.5
"49",29,1,26,1,1,1,NA,NA,29,26,"DO","DO",1,0.5
"50",29,1,21,1,1,0,NA,NA,29,21,"DO","PO",0,0.5
"51",29,1,23,1,1,0,NA,NA,29,23,"DO","PO",0,0.5
"52",29,1,25,1,1,0,NA,NA,29,25,"DO","PO",0,0.5
"53",30,2,21,0,1,0,NA,NA,30,21,"PO","PO",0,-0.5
"54",33,1,23,1,1,0,NA,NA,33,23,"DO","PO",0,0.5
"55",33,1,26,1,1,0,NA,NA,33,26,"DO","PO",0,0.5
"56",34,2,21,0,1,0,NA,NA,34,21,"PO","PO",0,-0.5
"57",34,2,22,0,1,0,NA,NA,34,22,"PO","PO",0,-0.5
"58",34,2,23,0,1,0,NA,NA,34,23,"PO","PO",0,-0.5
"59",34,2,24,0,1,0,NA,NA,34,24,"PO","PO",0,-0.5
"60",34,2,25,0,1,0,NA,NA,34,25,"PO","PO",0,-0.5
"61",34,2,26,0,1,0,NA,NA,34,26,"PO","PO",0,-0.5
"62",37,1,21,1,1,1,NA,NA,37,21,"DO","DO",1,0.5
"63",37,1,23,1,1,1,NA,NA,37,23,"DO","DO",1,0.5
"64",37,1,25,1,1,1,NA,NA,37,25,"DO","DO",1,0.5
"65",37,1,26,1,1,1,NA,NA,37,26,"DO","DO",1,0.5
"66",37,1,22,1,1,0,NA,NA,37,22,"DO","PO",0,0.5
"67",37,1,24,1,1,0,NA,NA,37,24,"DO","PO",0,0.5
"68",38,2,21,0,1,0,NA,NA,38,21,"PO","PO",0,-0.5
"69",38,2,22,0,1,0,NA,NA,38,22,"PO","PO",0,-0.5
"70",38,2,23,0,1,0,NA,NA,38,23,"PO","PO",0,-0.5
"71",38,2,24,0,1,0,NA,NA,38,24,"PO","PO",0,-0.5
"72",38,2,25,0,1,0,NA,NA,38,25,"PO","PO",0,-0.5
"73",38,2,26,0,1,0,NA,NA,38,26,"PO","PO",0,-0.5
"74",41,1,21,1,1,1,NA,NA,41,21,"DO","DO",1,0.5
"75",41,1,22,1,1,1,NA,NA,41,22,"DO","DO",1,0.5
"76",41,1,23,1,1,1,NA,NA,41,23,"DO","DO",1,0.5
"77",41,1,24,1,1,1,NA,NA,41,24,"DO","DO",1,0.5
"78",41,1,25,1,1,1,NA,NA,41,25,"DO","DO",1,0.5
"79",41,1,26,1,1,1,NA,NA,41,26,"DO","DO",1,0.5
"80",42,2,21,0,1,0,NA,NA,42,21,"PO","PO",0,-0.5
"81",42,2,22,0,1,0,NA,NA,42,22,"PO","PO",0,-0.5
"82",42,2,23,0,1,0,NA,NA,42,23,"PO","PO",0,-0.5
"83",42,2,24,0,1,0,NA,NA,42,24,"PO","PO",0,-0.5
"84",42,2,25,0,1,0,NA,NA,42,25,"PO","PO",0,-0.5
"85",42,2,26,0,1,0,NA,NA,42,26,"PO","PO",0,-0.5
"86",45,1,21,1,1,1,NA,NA,45,21,"DO","DO",1,0.5
"87",45,1,24,1,1,1,NA,NA,45,24,"DO","DO",1,0.5
"88",45,1,26,1,1,1,NA,NA,45,26,"DO","DO",1,0.5
"89",45,1,22,1,1,0,NA,NA,45,22,"DO","PO",0,0.5
"90",45,1,23,1,1,0,NA,NA,45,23,"DO","PO",0,0.5
"91",45,1,25,1,1,0,NA,NA,45,25,"DO","PO",0,0.5
"92",46,2,21,0,1,1,NA,NA,46,21,"PO","DO",1,-0.5
"93",46,2,22,0,1,1,NA,NA,46,22,"PO","DO",1,-0.5
"94",46,2,24,0,1,1,NA,NA,46,24,"PO","DO",1,-0.5
"95",46,2,26,0,1,1,NA,NA,46,26,"PO","DO",1,-0.5
"96",46,2,23,0,1,0,NA,NA,46,23,"PO","PO",0,-0.5
"97",46,2,25,0,1,0,NA,NA,46,25,"PO","PO",0,-0.5
"98",49,1,21,1,1,1,NA,NA,49,21,"DO","DO",1,0.5
"99",49,1,25,1,1,1,NA,NA,49,25,"DO","DO",1,0.5
"100",49,1,26,1,1,0,NA,NA,49,26,"DO","PO",0,0.5
"101",50,2,25,0,1,1,NA,NA,50,25,"PO","DO",1,-0.5
"102",50,2,25,0,1,1,NA,NA,50,25,"PO","DO",1,-0.5
"103",50,2,23,0,1,1,NA,NA,50,23,"PO","DO",1,-0.5
"104",50,2,23,0,1,1,NA,NA,50,23,"PO","DO",1,-0.5
"105",50,2,24,0,1,1,NA,NA,50,24,"PO","DO",1,-0.5
"106",50,2,24,0,1,1,NA,NA,50,24,"PO","DO",1,-0.5
"107",50,2,26,0,1,1,NA,NA,50,26,"PO","DO",1,-0.5
"108",50,2,26,0,1,1,NA,NA,50,26,"PO","DO",1,-0.5
"109",50,2,21,0,1,0,NA,NA,50,21,"PO","PO",0,-0.5
"110",50,2,21,0,1,0,NA,NA,50,21,"PO","PO",0,-0.5
"111",53,1,21,1,1,1,NA,NA,53,21,"DO","DO",1,0.5
"112",53,1,22,1,1,1,NA,NA,53,22,"DO","DO",1,0.5
"113",53,1,23,1,1,1,NA,NA,53,23,"DO","DO",1,0.5
"114",53,1,24,1,1,1,NA,NA,53,24,"DO","DO",1,0.5
"115",53,1,25,1,1,1,NA,NA,53,25,"DO","DO",1,0.5
"116",53,1,26,1,1,1,NA,NA,53,26,"DO","DO",1,0.5
"117",58,1,21,1,1,1,NA,NA,58,21,"DO","DO",1,0.5
"118",58,1,22,1,1,1,NA,NA,58,22,"DO","DO",1,0.5
"119",58,1,23,1,1,1,NA,NA,58,23,"DO","DO",1,0.5
"120",58,1,25,1,1,1,NA,NA,58,25,"DO","DO",1,0.5
"121",58,1,26,1,1,0,NA,NA,58,26,"DO","PO",0,0.5
"122",59,2,21,0,1,0,NA,NA,59,21,"PO","PO",0,-0.5
"123",59,2,22,0,1,0,NA,NA,59,22,"PO","PO",0,-0.5
"124",59,2,23,0,1,0,NA,NA,59,23,"PO","PO",0,-0.5
"125",59,2,24,0,1,0,NA,NA,59,24,"PO","PO",0,-0.5
"126",59,2,25,0,1,0,NA,NA,59,25,"PO","PO",0,-0.5
"127",59,2,26,0,1,0,NA,NA,59,26,"PO","PO",0,-0.5
"128",114,1,24,1,1,1,NA,NA,114,24,"DO","DO",1,0.5
"129",114,1,26,1,1,1,NA,NA,114,26,"DO","DO",1,0.5
"130",114,1,22,1,1,0,NA,NA,114,22,"DO","PO",0,0.5
"131",114,1,23,1,1,0,NA,NA,114,23,"DO","PO",0,0.5
