"","ID","Simon","Time","Cond","Item","Const","X","X.1","subj","item","cond","resp","respcode","condcode"
"1",1,45,1,1,1,1,NA,NA,1,1,"DO","DO",1,0.5
"2",1,45,1,1,2,1,NA,NA,1,2,"DO","DO",1,0.5
"3",1,45,1,1,3,1,NA,NA,1,3,"DO","DO",1,0.5
"4",1,45,1,1,4,1,NA,NA,1,4,"DO","DO",1,0.5
"5",1,45,1,1,5,1,NA,NA,1,5,"DO","DO",1,0.5
"6",1,45,1,1,6,1,NA,NA,1,6,"DO","DO",1,0.5
"7",3,30,1,1,7,1,NA,NA,3,7,"DO","DO",1,0.5
"8",3,30,1,1,8,1,NA,NA,3,8,"DO","DO",1,0.5
"9",3,30,1,1,10,1,NA,NA,3,10,"DO","DO",1,0.5
"10",3,30,1,1,12,1,NA,NA,3,12,"DO","DO",1,0.5
"11",4,47,1,0,7,1,NA,NA,4,7,"PO","DO",1,-0.5
"12",4,47,1,0,8,0,NA,NA,4,8,"PO","PO",0,-0.5
"13",4,47,1,0,9,1,NA,NA,4,9,"PO","DO",1,-0.5
"14",4,47,1,0,10,0,NA,NA,4,10,"PO","PO",0,-0.5
"15",4,47,1,0,11,1,NA,NA,4,11,"PO","DO",1,-0.5
"16",4,47,1,0,12,1,NA,NA,4,12,"PO","DO",1,-0.5
"17",5,29,1,1,2,0,NA,NA,5,2,"DO","PO",0,0.5
"18",5,29,1,1,4,1,NA,NA,5,4,"DO","DO",1,0.5
"19",5,29,1,1,5,1,NA,NA,5,5,"DO","DO",1,0.5
"20",5,29,1,1,6,0,NA,NA,5,6,"DO","PO",0,0.5
"21",7,14,1,1,8,1,NA,NA,7,8,"DO","DO",1,0.5
"22",7,14,1,1,10,0,NA,NA,7,10,"DO","PO",0,0.5
"23",7,14,1,1,11,0,NA,NA,7,11,"DO","PO",0,0.5
"24",7,14,1,1,12,0,NA,NA,7,12,"DO","PO",0,0.5
"25",8,35,1,0,8,0,NA,NA,8,8,"PO","PO",0,-0.5
"26",8,35,1,0,9,0,NA,NA,8,9,"PO","PO",0,-0.5
"27",8,35,1,0,10,0,NA,NA,8,10,"PO","PO",0,-0.5
"28",8,35,1,0,11,0,NA,NA,8,11,"PO","PO",0,-0.5
"29",8,35,1,0,12,1,NA,NA,8,12,"PO","DO",1,-0.5
"30",9,36,1,0,7,0,NA,NA,9,7,"PO","PO",0,-0.5
"31",9,36,1,0,8,0,NA,NA,9,8,"PO","PO",0,-0.5
"32",9,36,1,0,9,0,NA,NA,9,9,"PO","PO",0,-0.5
"33",9,36,1,0,10,0,NA,NA,9,10,"PO","PO",0,-0.5
"34",9,36,1,0,11,0,NA,NA,9,11,"PO","PO",0,-0.5
"35",9,36,1,0,12,0,NA,NA,9,12,"PO","PO",0,-0.5
"36",10,29,1,0,1,0,NA,NA,10,1,"PO","PO",0,-0.5
