"","ID","Cond","Item","Const","Physical","Virtual","X","X.1","X.2","X.3","X.4","X.5","X.6","subj","item","cond","resp","respcode","condcode"
"1",4,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,4,3,"DO","DO",1,0.5
"2",4,1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,4,5,"DO","DO",1,0.5
"3",4,1,15,0,1,1,NA,NA,NA,NA,NA,NA,NA,4,15,"DO","PO",0,0.5
"4",5,0,5,0,1,1,NA,NA,NA,NA,NA,NA,NA,5,5,"PO","PO",0,-0.5
"5",8,0,21,1,1,1,NA,NA,NA,NA,NA,NA,NA,8,21,"PO","DO",1,-0.5
"6",8,0,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,8,3,"PO","DO",1,-0.5
"7",8,0,15,1,1,1,NA,NA,NA,NA,NA,NA,NA,8,15,"PO","DO",1,-0.5
"8",9,0,21,1,1,1,NA,NA,NA,NA,NA,NA,NA,9,21,"PO","DO",1,-0.5
"9",9,0,12,0,1,1,NA,NA,NA,NA,NA,NA,NA,9,12,"PO","PO",0,-0.5
"10",9,0,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,9,3,"PO","DO",1,-0.5
"11",9,0,4,0,1,1,NA,NA,NA,NA,NA,NA,NA,9,4,"PO","PO",0,-0.5
"12",9,0,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,9,5,"PO","DO",1,-0.5
"13",9,0,15,0,1,1,NA,NA,NA,NA,NA,NA,NA,9,15,"PO","PO",0,-0.5
"14",17,1,21,1,1,1,NA,NA,NA,NA,NA,NA,NA,17,21,"DO","DO",1,0.5
"15",17,1,12,0,1,1,NA,NA,NA,NA,NA,NA,NA,17,12,"DO","PO",0,0.5
"16",17,1,4,0,1,1,NA,NA,NA,NA,NA,NA,NA,17,4,"DO","PO",0,0.5
"17",17,1,5,0,1,1,NA,NA,NA,NA,NA,NA,NA,17,5,"DO","PO",0,0.5
"18",17,1,15,0,1,1,NA,NA,NA,NA,NA,NA,NA,17,15,"DO","PO",0,0.5
"19",20,1,21,1,1,1,NA,NA,NA,NA,NA,NA,NA,20,21,"DO","DO",1,0.5
"20",20,1,12,0,1,1,NA,NA,NA,NA,NA,NA,NA,20,12,"DO","PO",0,0.5
"21",20,1,3,0,1,1,NA,NA,NA,NA,NA,NA,NA,20,3,"DO","PO",0,0.5
"22",20,1,4,0,1,1,NA,NA,NA,NA,NA,NA,NA,20,4,"DO","PO",0,0.5
"23",20,1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,20,5,"DO","DO",1,0.5
"24",20,1,15,0,1,1,NA,NA,NA,NA,NA,NA,NA,20,15,"DO","PO",0,0.5
"25",21,0,21,1,1,1,NA,NA,NA,NA,NA,NA,NA,21,21,"PO","DO",1,-0.5
"26",21,0,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,21,3,"PO","DO",1,-0.5
"27",21,0,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,21,4,"PO","DO",1,-0.5
"28",21,0,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,21,5,"PO","DO",1,-0.5
"29",21,0,15,1,1,1,NA,NA,NA,NA,NA,NA,NA,21,15,"PO","DO",1,-0.5
"30",23,0,21,0,1,1,NA,NA,NA,NA,NA,NA,NA,23,21,"PO","PO",0,-0.5
"31",23,0,12,0,1,1,NA,NA,NA,NA,NA,NA,NA,23,12,"PO","PO",0,-0.5
"32",23,0,3,0,1,1,NA,NA,NA,NA,NA,NA,NA,23,3,"PO","PO",0,-0.5
"33",23,0,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,23,4,"PO","DO",1,-0.5
"34",23,0,5,0,1,1,NA,NA,NA,NA,NA,NA,NA,23,5,"PO","PO",0,-0.5
"35",23,0,15,0,1,1,NA,NA,NA,NA,NA,NA,NA,23,15,"PO","PO",0,-0.5
"36",33,1,21,1,1,1,NA,NA,NA,NA,NA,NA,NA,33,21,"DO","DO",1,0.5
"37",33,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,33,3,"DO","DO",1,0.5
"38",33,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,33,4,"DO","DO",1,0.5
"39",33,1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,33,5,"DO","DO",1,0.5
"40",33,1,15,1,1,1,NA,NA,NA,NA,NA,NA,NA,33,15,"DO","DO",1,0.5
"41",36,1,21,1,1,1,NA,NA,NA,NA,NA,NA,NA,36,21,"DO","DO",1,0.5
"42",36,1,4,0,1,1,NA,NA,NA,NA,NA,NA,NA,36,4,"DO","PO",0,0.5
"43",36,1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,36,5,"DO","DO",1,0.5
"44",36,1,15,1,1,1,NA,NA,NA,NA,NA,NA,NA,36,15,"DO","DO",1,0.5
"45",37,0,21,1,1,1,NA,NA,NA,NA,NA,NA,NA,37,21,"PO","DO",1,-0.5
"46",37,0,12,0,1,1,NA,NA,NA,NA,NA,NA,NA,37,12,"PO","PO",0,-0.5
"47",37,0,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,37,3,"PO","DO",1,-0.5
"48",37,0,4,0,1,1,NA,NA,NA,NA,NA,NA,NA,37,4,"PO","PO",0,-0.5
"49",37,0,5,0,1,1,NA,NA,NA,NA,NA,NA,NA,37,5,"PO","PO",0,-0.5
"50",37,0,15,0,1,1,NA,NA,NA,NA,NA,NA,NA,37,15,"PO","PO",0,-0.5
"51",40,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,40,1,"PO","PO",0,-0.5
"52",40,0,12,0,1,1,NA,NA,NA,NA,NA,NA,NA,40,12,"PO","PO",0,-0.5
"53",40,0,3,0,1,1,NA,NA,NA,NA,NA,NA,NA,40,3,"PO","PO",0,-0.5
"54",40,0,4,0,1,1,NA,NA,NA,NA,NA,NA,NA,40,4,"PO","PO",0,-0.5
"55",40,0,5,0,1,1,NA,NA,NA,NA,NA,NA,NA,40,5,"PO","PO",0,-0.5
"56",40,0,15,0,1,1,NA,NA,NA,NA,NA,NA,NA,40,15,"PO","PO",0,-0.5
"57",49,1,21,1,1,1,NA,NA,NA,NA,NA,NA,NA,49,21,"DO","DO",1,0.5
"58",49,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,49,3,"DO","DO",1,0.5
"59",49,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,49,4,"DO","DO",1,0.5
"60",49,1,5,0,1,1,NA,NA,NA,NA,NA,NA,NA,49,5,"DO","PO",0,0.5
"61",49,1,15,0,1,1,NA,NA,NA,NA,NA,NA,NA,49,15,"DO","PO",0,0.5
"62",52,1,21,1,1,1,NA,NA,NA,NA,NA,NA,NA,52,21,"DO","DO",1,0.5
"63",52,1,12,0,1,1,NA,NA,NA,NA,NA,NA,NA,52,12,"DO","PO",0,0.5
"64",52,1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,52,5,"DO","DO",1,0.5
"65",52,1,15,1,1,1,NA,NA,NA,NA,NA,NA,NA,52,15,"DO","DO",1,0.5
"66",68,1,21,1,1,1,NA,NA,NA,NA,NA,NA,NA,68,21,"DO","DO",1,0.5
"67",68,1,22,1,1,1,NA,NA,NA,NA,NA,NA,NA,68,22,"DO","DO",1,0.5
"68",68,1,23,1,1,1,NA,NA,NA,NA,NA,NA,NA,68,23,"DO","DO",1,0.5
"69",68,1,15,1,1,1,NA,NA,NA,NA,NA,NA,NA,68,15,"DO","DO",1,0.5
"70",69,0,21,1,1,1,NA,NA,NA,NA,NA,NA,NA,69,21,"PO","DO",1,-0.5
"71",69,0,22,1,1,1,NA,NA,NA,NA,NA,NA,NA,69,22,"PO","DO",1,-0.5
"72",69,0,23,1,1,1,NA,NA,NA,NA,NA,NA,NA,69,23,"PO","DO",1,-0.5
"73",69,0,15,1,1,1,NA,NA,NA,NA,NA,NA,NA,69,15,"PO","DO",1,-0.5
"74",72,0,12,1,1,1,NA,NA,NA,NA,NA,NA,NA,72,12,"PO","DO",1,-0.5
"75",72,0,23,1,1,1,NA,NA,NA,NA,NA,NA,NA,72,23,"PO","DO",1,-0.5
"76",72,0,24,1,1,1,NA,NA,NA,NA,NA,NA,NA,72,24,"PO","DO",1,-0.5
"77",72,0,15,0,1,1,NA,NA,NA,NA,NA,NA,NA,72,15,"PO","PO",0,-0.5
"78",81,1,21,1,1,1,NA,NA,NA,NA,NA,NA,NA,81,21,"DO","DO",1,0.5
"79",81,1,22,1,1,1,NA,NA,NA,NA,NA,NA,NA,81,22,"DO","DO",1,0.5
"80",81,1,23,1,1,1,NA,NA,NA,NA,NA,NA,NA,81,23,"DO","DO",1,0.5
"81",81,1,15,1,1,1,NA,NA,NA,NA,NA,NA,NA,81,15,"DO","DO",1,0.5
"82",88,0,22,1,1,1,NA,NA,NA,NA,NA,NA,NA,88,22,"PO","DO",1,-0.5
"83",88,0,23,0,1,1,NA,NA,NA,NA,NA,NA,NA,88,23,"PO","PO",0,-0.5
"84",88,0,24,0,1,1,NA,NA,NA,NA,NA,NA,NA,88,24,"PO","PO",0,-0.5
"85",88,0,15,0,1,1,NA,NA,NA,NA,NA,NA,NA,88,15,"PO","PO",0,-0.5
"86",97,1,12,0,1,1,NA,NA,NA,NA,NA,NA,NA,97,12,"DO","PO",0,0.5
"87",97,1,22,1,1,1,NA,NA,NA,NA,NA,NA,NA,97,22,"DO","DO",1,0.5
"88",97,1,15,0,1,1,NA,NA,NA,NA,NA,NA,NA,97,15,"DO","PO",0,0.5
"89",133,0,23,1,1,1,NA,NA,NA,NA,NA,NA,NA,133,23,"PO","DO",1,-0.5
"90",133,0,15,1,1,1,NA,NA,NA,NA,NA,NA,NA,133,15,"PO","DO",1,-0.5
