Subject_ID	item	trial_numb	cond	prime_resp	Vcond	Ptype	target_resp	Ttype	T_onset	P_onset	P_offset	trialT		
10	1	75	02	DO	1	2	ZZ	3	3300	2920	6980	13200		
10	2	31	03	PO	2	1	DO	2	4070	7140	12520	23730		
10	3	59	04	DO	2	2	DO	2	3520	4170	5650	13340		
10	4	11	01	PO	1	1	PO	1	3740	2800	5440	11980		
10	5	55	02	ZZ	1	3	ZZ	3	4400	9390	10210	24000		
10	6	43	03	ZZ	2	3	DO	2	3570	3960	7910	15440		
10	7	87	04	DO	2	2	ZZ	3	3130	7690	9670	20490		
10	8	123	01	ZZ	1	3	PO	1	2470	2690	5330	10490		
10	9	7	02	ZZ	1	3	ZZ	3	2750	2910	5270	10930		
10	10	99	03	PO	2	1	PO	1	3470	3350	7520	14340		
10	11	39	04	DO	2	2	DO	2	2700	3840	5650	12190		
10	12	63	01	PO	1	1	ZZ	3	3460	2470	4890	10820		
10	13	35	02	DO	1	2	PO	1	2690	3680	8080	14450		
10	14	107	03	PO	2	1	DO	2	1640	2310	5610	9560		
10	15	47	04	PO	2	1	ZZ	3	2580	3250	4620	10450		
10	16	19	01	ZZ	1	3	ZZ	3	3070	4670	7030	14770		
10	17	103	02	DO	1	2	DO	2	1480	32730	34330	68540		
10	18	95	03	ZZ	2	3	ZZ	3	4010	3190	6100	13300		
10	19	83	04	DO	2	2	PO	1	3510	3190	4840	11540		
10	20	67	01	PO	1	1	ZZ	3	3950	4440	7740	16130		
10	21	27	02	DO	1	2	DO	2	5330	3570	5110	14010		
10	22	119	03	PO	2	1	DO	2	2910	2530	7140	12580		
10	23	51	04	DO	2	2	DO	2	2360	2410	4010	8780		
10	24	15	01	PO	1	1	PO	1	6260	2590	5220	14070		
10	25	71	02	DO	1	2	DO	2	2750	2690	5600	11040		
10	26	3	03	ZZ	2	3	DO	2	5050	3350	4780	13180		
10	27	79	04	DO	2	2	DO	2	2360	3680	5770	11810		
10	28	127	01	PO	1	1	DO	2	3020	4120	5710	12850		
10	29	115	02	DO	1	2	DO	2	2690	3070	4280	10040		
10	30	23	03	PO	2	1	PO	1	4610	1920	2580	9110		
10	31	111	04	DO	2	2	DO	2	2800	2360	3680	8840		
10	32	91	01	PO	1	1	PO	1	2420	2920	7030	12370		
11	1	63	03	PO	2	1	DO	2	1860	2410	11810	16080		
11	2	3	04	ZZ	2	3	DO	2	2410	3240	4400	10050		
11	3	75	01	PO	1	1	DO	2	880	2090	2740	5710		
11	4	123	02	DO	1	2	DO	2	7580	4290	10550	22420		
11	5	79	03	ZZ	2	3	DO	2	3240	3190	5000	11430		
11	6	83	04	DO	2	2	ZZ	3	2640	3570	5000	11210		
11	7	55	01	ZZ	1	3	PO	1	4670	4450	11420	20540		
11	8	47	02	DO	1	2	DO	2	3130	7910	22900	33940		
11	9	95	03	DO	2	2	DO	2	1540	4120	8900	14560		
11	10	11	04	ZZ	2	3	DO	2	4060	4390	6260	14710		
11	11	35	01	PO	1	1	ZZ	3	19170	15210	19330	53710		
11	12	99	02	DO	1	2	ZZ	3	2030	5710	8080	15820		
11	13	23	03	PO	2	1	PO	1	8570	3140	9450	21160		
11	14	7	04	DO	2	2	ZZ	3	2140	3570	6050	11760		
11	15	59	01	PO	1	1	PO	1	2200	2750	6920	11870		
11	16	103	02	DO	1	2	ZZ	3	3620	2530	4070	10220		
