Subj	posit	list	item	prime	pres_C	pres_F	target	presp	tresp
M2L01	6	1	23	1	62	14	2	62	5
M2L01	9	1	16	2	65	77	1	65	5
M2L01	12	1	13	1	10	54	1	10	4
M2L01	15	1	7	1	20	8	2	20	4
M2L01	18	1	20	2	94	224	1	94	5
M2L01	21	1	24	2	17	45	1	17	5
M2L01	24	1	18	2	18	2	2	18	4
M2L01	27	1	21	1	3	12	1	3	3
M2L01	30	1	22	2	12	2	2	12	5
M2L01	33	1	14	2	16	6	2	16	5
M2L01	36	1	5	1	16	78	1	16	5
M2L01	39	1	12	2	72	84	1	72	5
M2L01	42	1	9	1	5	18	1	5	5
M2L01	45	1	19	1	70	10	2	70	5
M2L01	48	1	3	1	33	9	2	33	1
M2L01	51	1	4	2	70	90	1	70	5
M2L01	54	1	10	2	19	2	2	19	3
M2L01	57	1	11	1	40	12	2	40	1
M2L01	60	1	15	1	198	38	2	198	3
M2L01	63	1	2	2	7	2	2	7	3
M2L01	66	1	8	2	35	80	1	35	5
M2L01	69	1	1	1	5	20	1	5	5
M2L01	72	1	17	1	13	63	1	13	5
M2L01	75	1	6	2	13	4	2	13	5
M2L02	6	2	23	2	4	16	2	4	5
M2L02	9	2	16	1	25	32	2	25	1
M2L02	12	2	13	2	85	22	1	85	5
M2L02	15	2	7	2	1	4	2	1	1
M2L02	18	2	20	1	74	200	2	74	1
M2L02	21	2	24	1	19	49	2	19	5
M2L02	24	2	18	1	92	8	1	8	5
M2L02	27	2	21	2	25	9	1	25	5
M2L02	30	2	22	1	56	8	1	56	4
M2L02	33	2	14	1	49	13	1	49	5
M2L02	36	2	5	2	152	62	1	152	5
M2L02	39	2	12	1	27	34	2	34	2
M2L02	42	2	9	2	50	26	1	50	5
M2L02	45	2	19	2	0	12	2	0	5
M2L02	48	2	3	2	1	6	2	1	1
M2L02	51	2	4	1	50	68	2	50	1
M2L02	54	2	10	1	98	8	1	98	5
M2L02	57	2	11	2	4	14	2	4	5
M2L02	60	2	15	2	15	40	2	15	5
M2L02	63	2	2	1	26	8	1	26	5
M2L02	66	2	8	1	25	65	2	25	5
M2L02	69	2	1	2	73	45	1	73	5
M2L02	72	2	17	2	97	25	1	97	5
M2L02	75	2	6	1	86	14	1	86	5
