Subj	posit	list	item	prime	target	tres_C	tres_F	presp	tresp	correct	numerr
L2M01	6	1	23	2	1	62	14	5	19	0	1
L2M01	9	1	16	1	2	65	77	5	65	1	0
L2M01	12	1	13	1	1	10	54	5	54	0	0
L2M01	15	1	7	2	1	20	8	2	8	0	0
L2M01	18	1	20	1	2	94	224	5	-10	0	1
L2M01	21	1	24	1	2	17	45	5	14	0	1
L2M01	24	1	18	2	2	18	2	4	18	1	0
L2M01	27	1	21	1	1	3	12	5	12	0	0
L2M01	30	1	22	2	2	12	2	4	12	1	0
L2M01	33	1	14	2	2	16	6	5	16	1	0
L2M01	36	1	5	1	1	16	78	5	78	0	0
L2M01	39	1	12	1	2	72	84	5	72	1	0
L2M01	42	1	9	1	1	5	18	5	18	0	0
L2M01	45	1	19	2	1	70	10	5	10	0	0
L2M01	48	1	3	2	1	33	9	4	9	0	0
L2M01	51	1	4	1	2	70	90	5	70	1	0
L2M01	54	1	10	2	2	19	2	4	19	1	0
L2M01	57	1	11	2	1	40	12	2	12	0	0
L2M01	60	1	15	2	1	198	38	5	198	1	0
L2M01	63	1	2	2	2	7	2	2	7	1	0
L2M01	66	1	8	1	2	35	80	5	35	1	0
L2M01	69	1	1	1	1	5	20	5	20	0	0
L2M01	72	1	17	1	1	13	63	5	63	0	0
L2M01	75	1	6	2	2	13	4	5	10	0	1
L2M02	6	4	17	2	2	97	25	5	97	1	0
L2M02	9	4	15	1	2	15	40	5	15	1	0
L2M02	12	4	5	2	2	152	62	5	152	1	0
L2M02	15	4	2	2	1	26	8	5	8	0	0
L2M02	18	4	11	1	2	4	14	4	3	0	1
L2M02	21	4	22	2	1	56	8	4	8	0	0
L2M02	24	4	12	1	1	27	34	5	34	0	0
L2M02	27	4	19	1	2	0	12	5	1	0	1
L2M02	30	4	4	1	1	50	68	5	64	0	1
L2M02	33	4	24	1	1	19	49	5	49	0	0
L2M02	36	4	23	1	2	4	16	3	3	0	1
L2M02	39	4	3	1	2	1	6	5	1	1	0
L2M02	42	4	13	2	2	85	22	4	85	1	0
L2M02	45	4	18	2	1	92	8	5	8	0	0
L2M02	48	4	6	2	1	86	14	5	15	0	1
L2M02	51	4	20	1	1	74	200	4	200	0	0
L2M02	54	4	9	2	2	50	26	5	50	1	0
L2M02	57	4	8	1	1	25	65	5	65	0	0
L2M02	60	4	21	2	2	25	9	5	25	1	0
L2M02	63	4	14	2	1	49	13	5	13	0	0
L2M02	66	4	16	1	1	25	32	5	32	0	0
L2M02	69	4	10	2	1	98	8	5	6	0	1
L2M02	72	4	7	1	2	1	4	5	1	1	0
