Subj	Group	Posit	Item	PrimeCond	PrimeCorrect	TargetAttach	
1	B	7	12	2	1	3	
1	B	11	14	3	0	1	
1	B	15	23	3	1	1	
1	B	19	24	2	1	3	
1	B	23	20	3	1	1	
1	B	27	6	2	1	3	
1	B	31	3	2	1	1	
1	B	35	16	1	1	2	
1	B	39	18	2	1	3	
1	B	43	7	1	1	1	
1	B	47	15	2	1	2	
1	B	51	11	3	1	2	
1	B	55	22	1	1	1	
1	B	59	4	1	1	2	
1	B	63	9	2	1	2	
1	B	67	2	3	1	2	
1	B	71	10	1	1	1	
1	B	75	5	3	1	3	
1	B	79	13	1	0	3	
1	B	83	17	3	1	3	
1	B	87	19	1	0	2	
1	B	91	8	3	1	1	
1	B	95	1	1	1	2	
1	B	99	21	2	0	1	
2	B	7	12	3	1	2	
2	B	11	14	1	1	1	
2	B	15	23	1	1	1	
2	B	19	24	3	1	2	
2	B	23	20	1	1	2	
2	B	27	6	3	1	2	
2	B	31	3	3	1	2	
2	B	35	16	2	0	2	
2	B	39	18	3	1	1	
2	B	43	7	2	1	2	
2	B	47	15	3	1	2	
2	B	51	11	1	1	2	
2	B	55	22	2	1	2	
2	B	59	4	2	0	2	
2	B	63	9	3	1	3	
2	B	67	2	1	1	2	
2	B	71	10	2	1	2	
2	B	75	5	1	0	3	
2	B	79	13	2	1	1	
2	B	83	17	1	1	2	
2	B	87	19	2	1	2	
2	B	91	8	1	1	1	
2	B	95	1	2	1	2	
2	B	99	21	3	1	1	
3	B	7	12	1	0	2	
3	B	11	14	2	0	1	
3	B	15	23	2	0	2	
3	B	19	24	1	0	2	
3	B	23	20	2	1	2	
3	B	27	6	1	0	3	
3	B	31	3	1	0	1	
3	B	35	16	3	1	3	
3	B	39	18	1	0	1	
3	B	43	7	3	1	1	
3	B	47	15	1	0	1	
3	B	51	11	2	0	2	
3	B	55	22	3	1	2	
3	B	59	4	3	1	2	
3	B	63	9	1	0	2	
3	B	67	2	2	0	1	
3	B	71	10	3	1	2	
3	B	75	5	2	0	2	
3	B	79	13	3	0	3	
3	B	83	17	2	0	2	
3	B	87	19	3	1	2	
3	B	91	8	2	0	1	
3	B	95	1	3	1	2	
3	B	99	21	1	0	3	
4	B	7	22	1	1	2	
4	B	11	11	3	1	2	
4	B	15	3	2	1	1	
4	B	19	1	1	1	1	
4	B	23	16	1	1	2	
4	B	27	8	3	1	1	
4	B	31	17	3	1	3	
4	B	35	7	1	1	2	
4	B	39	15	2	1	1	
4	B	43	9	2	1	2	
4	B	47	21	2	1	2	
4	B	51	12	2	1	2	
4	B	55	18	2	0	1	
4	B	59	20	3	1	2	
4	B	63	19	1	1	2	
4	B	67	24	2	1	1	
4	B	71	23	3	1	2	
4	B	75	13	1	1	1	
4	B	79	2	3	1	1	
4	B	83	4	1	1	2	
4	B	87	10	1	1	2	
4	B	91	5	3	1	1	
4	B	95	6	2	1	2	
4	B	99	14	3	1	1	
5	B	7	22	2	0	1	
5	B	11	11	1	0	2	
5	B	15	3	3	1	1	
5	B	19	1	2	0	1	
5	B	23	16	2	0	2	
5	B	27	8	1	0	2	
5	B	31	17	1	0	1	
5	B	35	7	2	0	2	
5	B	39	15	3	1	1	
5	B	43	9	3	1	1	
5	B	47	21	3	1	1	
5	B	51	12	3	1	2	
5	B	55	18	3	1	1	
5	B	59	20	1	0	3	
5	B	63	19	2	0	2	
5	B	67	24	3	1	3	
5	B	71	23	1	0	2	
5	B	75	13	2	1	1	
5	B	79	2	1	0	2	
5	B	83	4	2	1	3	
5	B	87	10	2	1	1	
5	B	91	5	1	0	1	
5	B	95	6	3	1	3	
5	B	99	14	1	1	1	
6	B	7	22	3	1	3	
6	B	11	11	2	0	3	
6	B	15	3	1	0	3	
6	B	19	1	3	1	2	
6	B	23	16	3	1	2	
6	B	27	8	2	1	1	
6	B	31	17	2	0	2	
6	B	35	7	3	1	3	
6	B	39	15	1	1	3	
6	B	43	9	1	1	2	
6	B	47	21	1	1	1	
6	B	51	12	1	1	3	
6	B	55	18	1	1	1	
6	B	59	20	2	1	2	
6	B	63	19	3	1	2	
6	B	67	24	1	1	2	
