Subj	Posit	List	Item	PrimeCond	PrimeCorrect	TargetAttach
1	7	1	12	2	1	2
1	11	1	14	3	1	1
1	15	1	23	3	1	1
1	19	1	24	2	1	2
1	23	1	20	3	1	2
1	27	1	6	2	1	3
1	31	1	3	2	1	3
1	35	1	16	1	1	2
1	39	1	18	2	1	3
1	43	1	7	1	1	3
1	47	1	15	2	1	2
1	51	1	11	3	1	2
1	55	1	22	1	1	2
1	59	1	4	1	1	2
1	63	1	9	2	1	3
1	67	1	2	3	1	2
1	71	1	10	1	1	3
1	75	1	5	3	1	1
1	79	1	13	1	0	1
1	83	1	17	3	1	2
1	87	1	19	1	1	2
1	91	1	8	3	1	3
1	95	1	1	1	1	1
1	99	1	21	2	1	1
2	7	2	12	3	1	3
2	11	2	14	1	1	1
2	15	2	23	1	1	1
2	19	2	24	3	1	2
2	23	2	20	1	1	2
2	27	2	6	3	1	3
2	31	2	3	3	1	2
2	35	2	16	2	1	2
2	39	2	18	3	1	2
2	43	2	7	2	1	2
2	47	2	15	3	1	3
2	51	2	11	1	1	3
2	55	2	22	2	1	2
2	59	2	4	2	1	2
2	63	2	9	3	0	2
2	67	2	2	1	1	2
2	71	2	10	2	1	3
2	75	2	5	1	1	1
2	79	2	13	2	1	1
2	83	2	17	1	1	3
2	87	2	19	2	0	2
2	91	2	8	1	1	3
2	95	2	1	2	1	3
2	99	2	21	3	1	3
3	7	3	12	1	1	1
3	11	3	14	2	1	3
3	15	3	23	2	1	1
3	19	3	24	1	1	1
3	23	3	20	2	1	1
3	27	3	6	1	1	1
3	31	3	3	1	1	2
3	35	3	16	3	1	2
3	39	3	18	1	1	1
3	43	3	7	3	1	1
3	47	3	15	1	1	2
3	51	3	11	2	1	2
3	55	3	22	3	1	3
3	59	3	4	3	1	3
3	63	3	9	1	1	2
3	67	3	2	2	1	2
3	71	3	10	3	1	2
3	75	3	5	2	1	1
3	79	3	13	3	1	1
3	83	3	17	2	1	3
3	87	3	19	3	1	2
3	91	3	8	2	1	3
3	95	3	1	3	1	1
3	99	3	21	1	1	3
4	7	1	12	2	1	2
4	11	1	14	3	1	1
4	15	1	23	3	1	1
4	19	1	24	2	1	1
4	23	1	20	3	1	1
4	27	1	6	2	1	2
4	31	1	3	2	1	2
4	35	1	16	1	1	3
4	39	1	18	2	1	1
4	43	1	7	1	1	2
4	47	1	15	2	0	3
4	51	1	11	3	1	2
4	55	1	22	1	1	1
4	59	1	4	1	1	3
4	63	1	9	2	1	3
4	67	1	2	3	1	3
4	71	1	10	1	1	3
4	75	1	5	3	1	1
4	79	1	13	1	0	3
4	83	1	17	3	1	3
4	87	1	19	1	1	1
4	91	1	8	3	1	3
4	95	1	1	1	0	2
4	99	1	21	2	1	1
5	7	2	12	3	1	3
5	11	2	14	1	1	3
5	15	2	23	1	1	1
5	19	2	24	3	1	1
5	23	2	20	1	1	1
5	27	2	6	3	1	2
5	31	2	3	3	1	2
5	35	2	16	2	1	3
5	39	2	18	3	1	1
5	43	2	7	2	1	2
5	47	2	15	3	1	1
5	51	2	11	1	1	1
5	55	2	22	2	1	1
5	59	2	4	2	1	2
5	63	2	9	3	1	3
5	67	2	2	1	1	2
5	71	2	10	2	1	1
5	75	2	5	1	1	1
5	79	2	13	2	1	2
5	83	2	17	1	1	1
5	87	2	19	2	1	1
5	91	2	8	1	1	1
5	95	2	1	2	1	2
5	99	2	21	3	1	1
6	7	3	12	1	1	1
6	11	3	14	2	1	1
6	15	3	23	2	1	3
6	19	3	24	1	1	1
6	23	3	20	2	1	1
6	27	3	6	1	1	2
6	31	3	3	1	1	1
6	35	3	16	3	1	1
6	39	3	18	1	1	1
6	43	3	7	3	1	2
6	47	3	15	1	1	3
6	51	3	11	2	1	2
6	55	3	22	3	1	2
6	59	3	4	3	1	1
6	63	3	9	1	0	3
6	67	3	2	2	1	2
6	71	3	10	3	1	2
6	75	3	5	2	0	1
6	79	3	13	3	1	2
6	83	3	17	2	1	3
6	87	3	19	3	1	2
6	91	3	8	2	1	3
6	95	3	1	3	1	2
6	99	3	21	1	1	1
7	7	1	12	2	1	2
7	11	1	14	3	1	2
7	15	1	23	3	1	1
7	19	1	24	2	1	3
7	23	1	20	3	1	3
7	27	1	6	2	0	1
7	31	1	3	2	1	2
7	35	1	16	1	1	2
7	39	1	18	2	1	1
7	43	1	7	1	1	2
7	47	1	15	2	0	2
7	51	1	11	3	1	2
