"","X.2","ExperimentID","Subcondition","Dep.measure","X.1","Paper.ID","row","exclude","Entered..by","Authors","Year","Experiment.name","N.subjects","num.data.1","num.data.2","N.unique.items","N.items.per.subj","num.data.items.1","num.data.items.2","Population","L1L1..L2L1..L1L2..L2L2","Auditory.prime","Target.task","Participant.produces.or.repeats.prime","Construction.type","Language","Lexical.boost.","Confederate.dialogue.","Lag","Quoted.text.from.original.paper.indicating.prediction.of.interest","Study.design","Dep.primed","participant.se..dep.primed.","Alt.primed","participant.se..alt.primed.","Simple.effect","se.on.diff","Other.pct","beta.from.lmer","std.error.on.beta","Dep.Omnibus.mean","Alt.Omnibus.mean","ANOVA.F1","ANOVA.F2","Baseline","participant.se..baseline.","Notes","X","p.repeats.prime","ID","StudyID","YearNum","L1","Other.pct.new","Alt.primed.new","Dep.primed.new"
"1",1,"1/Bernolet S/2010///dative","","PO",1,1,1,0,"RF","Bernolet S., Hartsuiker R.J.","2010","","57&57",57,57,"48","24&24",24,24,"undergraduates","L1L1","1","PD",0,"dative","Dutch","no","yes","0","p.2, we tested the hypothesis that priming strength is modulated by prime verb bias in a syntactic priming experiment.","prime (2) with norming for verb bias",0.8029612756,"",0.6477916195,"",0.1551696561,"",0.035,1.22,0.14,NA,NA,"","",0.7599544937,"","dummy coded mixed effects where dep variable = PO, base level for ""prime"" factor is baseline; Prime PO coef. beta=0.35, std error = 0.1424; prime DO coef. beta = -0.87, std. error 0.1322","",0,"Bernolet S/2010///PO","1/Bernolet S/2010/",10,"L1L1",NA,NA,NA
"2",2,"10/Branigan H/2007/Experiment 1/addressee->speaker/dative","addressee->speaker","PO",90,10,90,0,"RF","Branigan H.P., Pickering M.J., McLean J.F., Cleland A.A.","2007","Experiment 1","32&32",32,32,"12","3&3",3,3,"University of Glasgow community","L1L1","1","PD",0,"dative","English","yes","yes","0","p. 171, Experiment 1 examined whether speakers in a dialogue align with other participantsâ utterances when they are side-participants of those utterances, and whether such syntactic alignment diVers in magnitude from that shown by former addressees. ","prime (2) x participant role (2) (addressee->speaker vs. side-participant->addressee)",0.82,"",0.5,"",0.32,"",0.03645833333,NA,NA,NA,NA,"F(1, 15) = 30.59","F(1, 11) = 40.04",NA,"","ANOVAS on p. 176 combining interaction types: F(1, 30) = 38.44, F(1, 11) = 22.79","",0,"Branigan H/2007/Experiment 1/addressee->speaker/PO","10/Branigan H/2007/Experiment 1",7,"L1L1",NA,NA,NA
"3",3,"10/Branigan H/2007/Experiment 1/side-participant->addressee/dative","side-participant->addressee","PO",91,10,91,0,"RF","Branigan H.P., Pickering M.J., McLean J.F., Cleland A.A.","2007","Experiment 1","32&32",32,32,"12","3&3",3,3,"University of Glasgow community","L1L1","1","PD",0,"dative","English","yes","yes","0","p. 171, Experiment 1 examined whether speakers in a dialogue align with other participantsâ utterances when they are side-participants of those utterances, and whether such syntactic alignment diVers in magnitude from that shown by former addressees. ","prime (2) x participant role (2) (addressee->speaker vs. side-participant->addressee)",0.76,"",0.63,"",0.13,"",0.05729166667,NA,NA,NA,NA,"F(1, 14) = 4.58","F(1, 11) = 4.8",NA,"","ANOVAS on p. 176 combining interaction types: F(1, 30) = 38.44, F(1, 11) = 22.79","",0,"Branigan H/2007/Experiment 1/side-participant->addressee/PO","10/Branigan H/2007/Experiment 1",7,"L1L1",NA,NA,NA
"4",4,"10/Branigan H/2007/Experiment 2/addressee->speaker/dative","addressee->speaker","PO",92,10,92,0,"RF","Branigan H.P., Pickering M.J., McLean J.F., Cleland A.A.","2007","Experiment 2","32&32",32,32,"24","4&4",4,4,"University of Glasgow community","L1L1","1","PD",0,"dative","English","yes","yes","0","p.178, In Experiment 2, we investigated whether the diVerence in alignment between addressees and side-participants occurred in the context of a single three-party dialogue involving a naiÌve participant and two confederates (neither of whom was the experimenter).","prime (2) x participant role (3) (addressee->speaker vs. side-participant->speaker vs. side-participant -> addressee)",0.78,"",0.45,"",0.33,"",0.005,NA,NA,NA,NA,"F(1, 31) = 29.2","F(1, 23) = 27.1",NA,"","ANOVAS on p. 182 combining interaction type: F(1, 31) = 23.3, F(1, 23) = 63.1","",0,"Branigan H/2007/Experiment 2/addressee->speaker/PO","10/Branigan H/2007/Experiment 2",7,"L1L1",NA,NA,NA
"5",5,"10/Branigan H/2007/Experiment 2/side-participant->addressee/dative","side-participant->addressee","PO",94,10,94,0,"RF","Branigan H.P., Pickering M.J., McLean J.F., Cleland A.A.","2007","Experiment 2","32&32",32,32,"24","4&4",4,4,"University of Glasgow community","L1L1","1","PD",0,"dative","English","yes","yes","0","p.178, In Experiment 2, we investigated whether the diVerence in alignment between addressees and side-participants occurred in the context of a single three-party dialogue involving a naiÌve participant and two confederates (neither of whom was the experimenter).","prime (2) x participant role (3) (addressee->speaker vs. side-participant->speaker vs. side-participant -> addressee)",0.77,"",0.54,"",0.23,"",0.005,NA,NA,NA,NA,"F(1, 31) = 12.1","F(1, 23) = 18.0",NA,"","ANOVAS on p. 182 combining interaction type: F(1, 31) = 23.3, F(1, 23) = 63.1","",0,"Branigan H/2007/Experiment 2/side-participant->addressee/PO","10/Branigan H/2007/Experiment 2",7,"L1L1",NA,NA,NA
"6",6,"10/Branigan H/2007/Experiment 2/side-participant->speaker/dative","side-participant->speaker","PO",93,10,93,0,"RF","Branigan H.P., Pickering M.J., McLean J.F., Cleland A.A.","2007","Experiment 2","32&32",32,32,"24","4&4",4,4,"University of Glasgow community","L1L1","1","PD",0,"dative","English","yes","yes","0","p.178, In Experiment 2, we investigated whether the diVerence in alignment between addressees and side-participants occurred in the context of a single three-party dialogue involving a naiÌve participant and two confederates (neither of whom was the experimenter).","prime (2) x participant role (3) (addressee->speaker vs. side-participant->speaker vs. side-participant -> addressee)",0.73,"",0.59,"",0.14,"",0.005,NA,NA,NA,NA,"F(1, 31) = 5.91","F(1, 23) = 5.79",NA,"","ANOVAS on p. 182 combining interaction type: F(1, 31) = 23.3, F(1, 23) = 63.1","",0,"Branigan H/2007/Experiment 2/side-participant->speaker/PO","10/Branigan H/2007/Experiment 2",7,"L1L1",NA,NA,NA
"7",7,"10/Branigan H/2007/Experiment 3/addressee->side-participant/dative","addressee->side-participant","PO",96,10,96,0,"RF","Branigan H.P., Pickering M.J., McLean J.F., Cleland A.A.","2007","Experiment 3","24&24",24,24,"24","6&6",6,6,"University of Glasgow community","L1L1","1","PD",0,"dative","English","yes","yes","0","p.184, First, we examined whether the null effect of the current addresseeâs prior participant role would replicate. Second, we explored further how the prior participant role of the current speaker and the current addressee might affect alignment.  ","prime (2) x participant role (2) (addressee->speaker vs. addressee->side-participant)",0.83,"",0.6,"",0.23,"",0.002,NA,NA,NA,NA,"F(1, 23) = 20.1","F(1, 23) = 21.8",NA,"","ANOVAS on p. 186 combining interaction type: F(1, 22) = 36.3, F(1, 23) = 33.6","",0,"Branigan H/2007/Experiment 3/addressee->side-participant/PO","10/Branigan H/2007/Experiment 3",7,"L1L1",NA,NA,NA
"8",8,"10/Branigan H/2007/Experiment 3/addressee->speaker/dative","addressee->speaker","PO",95,10,95,0,"RF","Branigan H.P., Pickering M.J., McLean J.F., Cleland A.A.","2007","Experiment 3","24&24",24,24,"24","6&6",6,6,"University of Glasgow community","L1L1","1","PD",0,"dative","English","yes","yes","0","p.184, First, we examined whether the null effect of the current addresseeâs prior participant role would replicate. Second, we explored further how the prior participant role of the current speaker and the current addressee might affect alignment.  ","prime (2) x participant role (2) (addressee->speaker vs. side-participant->addressee)",0.78,"",0.56,"",0.22,"",0.002,NA,NA,NA,NA,"F(1, 23) = 31.0","F(1, 23) = 7.73",NA,"","ANOVAS on p. 186 combining interaction type: F(1, 22) = 36.3, F(1, 23) = 33.6","",0,"Branigan H/2007/Experiment 3/addressee->speaker/PO","10/Branigan H/2007/Experiment 3",7,"L1L1",NA,NA,NA
"9",9,"101/Bock K., L/1992/Experiment 1/animate prime subject, form focus/transitive","animate prime subject, form focus","A",611,101,600,0,"KM","Bock K., Loebell H., Morey R.","1992","Experiment 1","96&96",96,96,"16","8&8",8,8,"English L1","L1L1","1","PD",1,"transitive","English","no","no","0","","2 (prime) x 2 (animacy) x 2 (between subject: meaning focus vs form focus)",0.31,"",0.19,"",0.12,"",0.47,NA,NA,NA,NA,"","",NA,"","","",1,"Bock K., L/1992/Experiment 1/animate prime subject, form focus/A","101/Bock K., L/1992/Experiment 1",-8,"L1L1",NA,NA,NA
"10",10,"101/Bock K., L/1992/Experiment 1/animate prime subject, meaning focus/transitive","animate prime subject, meaning focus","A",609,101,598,0,"KM","Bock K., Loebell H., Morey R.","1992","Experiment 1","96&96",96,96,"16","8&8",8,8,"English L1","L1L1","1","PD",1,"transitive","English","no","no","0","","2 (prime) x 2 (animacy) x 2 (between subject: meaning focus vs form focus)",0.295,"",0.24,"",0.055,"",0.47,NA,NA,NA,NA,"","",NA,"","","",1,"Bock K., L/1992/Experiment 1/animate prime subject, meaning focus/A","101/Bock K., L/1992/Experiment 1",-8,"L1L1",NA,NA,NA
