time,subject,controller,element,group,dat,item,prime,completion,code,type,condition,target_verb,other_verb,exp
1609370766,c1d9b98c6eff7b8cef5b640d712cec44,Stim_Form,0,NULL,dat,4,The mother showed the hungry baby,a automatic ar15,D,prime,DO-diff,give,show,exp1
1609377220,09ae836406753ac16be2e91dcabd0314,Stim_Form,0,NULL,dat,23,The blogger mailed the penpal,a birthday card.,D,prime,DO-diff,offer,mail,exp1
1609377220,09ae836406753ac16be2e91dcabd0314,Stim_Form,0,NULL,dat,15,The builder handed the surveyor,a blueprint of his design,D,prime,DO-diff,lend,hand,exp1
1609369946,4f5a8715c3c8fb46d3c398caa9a0426a,Stim_Form,0,NULL,dat,8,The hostess sold the guests,a bottle of wine.,D,prime,DO-diff,hand,sell,exp1
1609369946,4f5a8715c3c8fb46d3c398caa9a0426a,Stim_Form,0,NULL,dat,4,The mother showed the hungry baby,a bottle.,D,prime,DO-diff,give,show,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,39,The librarian handed the student,a card.,D,prime,DO-diff,send,hand,exp1
1609370014,a27623959bfc01ef3a1e6a847a85894d,Stim_Form,0,NULL,dat,15,The builder handed the surveyor,a check,D,prime,DO-diff,lend,hand,exp1
1609377220,09ae836406753ac16be2e91dcabd0314,Stim_Form,0,NULL,dat,16,The farmer mailed the carpenter,a check for the work that was completed.,D,prime,DO-diff,lend,mail,exp1
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,0,NULL,dat,43,The racing driver gave the helpful mechanic,a compliment,D,prime,DO-diff,show,give,exp1
1609374078,edb465a3b5d7b3877f263156674d8a4d,Stim_Form,0,NULL,dat,32,The store owner offered the tall customer,a drink,D,prime,DO-diff,sell,offer,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,43,The racing driver gave the helpful mechanic,a fiver.,D,prime,DO-diff,show,give,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,41,The contractor offered the agent,a good deal.,D,prime,DO-diff,send,offer,exp1
1609377220,09ae836406753ac16be2e91dcabd0314,Stim_Form,0,NULL,dat,17,The fashion designer sent the famous journalist,a gown to try on for the gala.,D,prime,DO-diff,lend,send,exp1
1609374078,edb465a3b5d7b3877f263156674d8a4d,Stim_Form,0,NULL,dat,29,The rockstar gave the young fan,a guitar.,D,prime,DO-diff,mail,give,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,47,The baseball player lent the umpire,a hand.,D,prime,DO-diff,show,lend,exp1
1609377220,09ae836406753ac16be2e91dcabd0314,Stim_Form,0,NULL,dat,18,The cheerleader gave the skater,a high five and a wink,D,prime,DO-diff,lend,give,exp1
1609370014,a27623959bfc01ef3a1e6a847a85894d,Stim_Form,0,NULL,dat,22,The dancer sent the magician,a kiss,D,prime,DO-diff,offer,send,exp1
1609372234,b9c8c871cbbf2b297cce96468c6ce7b0,Stim_Form,0,NULL,dat,31,The professor lent the lecturer,a laptop computer.,D,prime,DO-diff,sell,lend,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,48,The enthusiastic child mailed the young friend,a letter.,D,prime,DO-diff,show,mail,exp1
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,0,NULL,dat,45,The lifeguard offered the surfer,a life jacket just in case of an emergency,D,prime,DO-diff,show,offer,exp1
1609372234,b9c8c871cbbf2b297cce96468c6ce7b0,Stim_Form,0,NULL,dat,30,The historian offered the princess,a look at her legacy.,D,prime,DO-diff,mail,offer,exp1
1609374078,edb465a3b5d7b3877f263156674d8a4d,Stim_Form,0,NULL,dat,25,The architect lent the cheerful engineer,a new tool.,D,prime,DO-diff,mail,lend,exp1
1609370014,a27623959bfc01ef3a1e6a847a85894d,Stim_Form,0,NULL,dat,17,The fashion designer sent the famous journalist,a note,D,prime,DO-diff,lend,send,exp1
1609369946,4f5a8715c3c8fb46d3c398caa9a0426a,Stim_Form,0,NULL,dat,1,The driving instructor handed the learner,a passing certificate.,D,prime,DO-diff,give,hand,exp1
1609369946,4f5a8715c3c8fb46d3c398caa9a0426a,Stim_Form,0,NULL,dat,12,The banker lent the customer,a pen.,D,prime,DO-diff,hand,lend,exp1
1609374078,edb465a3b5d7b3877f263156674d8a4d,Stim_Form,0,NULL,dat,31,The professor lent the lecturer,a pen.,D,prime,DO-diff,sell,lend,exp1
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,0,NULL,dat,40,The photographer sold the editor,a picture,D,prime,DO-diff,send,sell,exp1
1609369946,4f5a8715c3c8fb46d3c398caa9a0426a,Stim_Form,0,NULL,dat,6,The groomer sold the client,a professional brush and dog shampoo.,D,prime,DO-diff,give,sell,exp1
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,0,NULL,dat,38,The dentist mailed the insurance company,a receipt,D,prime,DO-diff,send,mail,exp1
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,0,NULL,dat,44,The youngster sold the kind babysitter,a ring,D,prime,DO-diff,show,sell,exp1
1609372234,b9c8c871cbbf2b297cce96468c6ce7b0,Stim_Form,0,NULL,dat,33,The spy handed the foreign diplomat,a secret flash drive.,D,prime,DO-diff,sell,hand,exp1
1609377220,09ae836406753ac16be2e91dcabd0314,Stim_Form,0,NULL,dat,14,The retiree sold the neighbor,a snowblower,D,prime,DO-diff,lend,sell,exp1
