time,subject,controller,element,group,dat,item,prime,completion,type,condition,target_verb,other_verb,exp
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,18,The cheerleader lent the skater,her pom poms.,prime,DO-same,lend,give,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,18,The gambler lent,some money to his dad.,target,target,lend,give,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,5,The biologist gave the article,a good review.,prime,PO-same,give,lend,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,5,The violinist gave,a good performance.,target,target,give,lend,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,21,The swimmer offered the visitor,his flip flops.,prime,DO-same,offer,hand,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,21,The draftsman offered,his shame.,target,target,offer,hand,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,22,The dancer offered the magician,some money.,prime,DO-same,offer,send,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,22,The motorist offered,a cop a bribe.,target,target,offer,send,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,4,The mother gave the expensive toy,to her son.,prime,PO-same,give,show,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,4,The sculptor gave,some clay to some children.,target,target,give,show,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,20,The car salesman offered the couple,a free car.,prime,DO-same,offer,sell,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,20,The forest ranger offered,a tour of the woods.,target,target,offer,sell,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,9,The efficient secretary handed the long fax,to her boss.,prime,PO-same,hand,send,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,9,The little girl handed,a lollipop to her sister.,target,target,hand,send,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,23,The blogger offered the penpal,a place to stay.,prime,DO-same,offer,mail,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,23,The runner offered,to run for charity.,target,target,offer,mail,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,27,The intern handed the invoice,to her boss.,prime,PO-diff,mail,hand,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,27,The boyfriend mailed,a love letter.,target,target,mail,hand,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,14,The retiree lent the neighbor,some money.,prime,DO-same,lend,sell,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,14,The actor lent,his talents to a director.,target,target,lend,sell,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,19,The woman offered the new neighbor,her body.,prime,DO-same,offer,give,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,19,The wrestler offered,a title shot to his opponent.,target,target,offer,give,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,16,The farmer lent the carpenter,some money.,prime,DO-same,lend,mail,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,16,The coastguard lent,a hand to the police.,target,target,lend,mail,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,46,The nurse sent the doctor,to the reception area.,prime,DO-diff,show,send,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,46,The jeweller showed,his wares.,target,target,show,send,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,43,The racing driver gave the helpful mechanic,a fiver.,prime,DO-diff,show,give,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,43,The patient showed,his scars.,target,target,show,give,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,7,The grandmother handed the big present,to her grandchild.,prime,PO-same,hand,give,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,7,The tennis fan handed,a ball to the player.,target,target,hand,give,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,33,The spy handed the stolen documents,to his leader.,prime,PO-diff,sell,hand,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,33,The programmer sold,a computer.,target,target,sell,hand,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,25,The architect lent the latest plans,to the builder.,prime,PO-diff,mail,lend,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,25,The teacher mailed,report cards.,target,target,mail,lend,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,39,The librarian handed the student,a card.,prime,DO-diff,send,hand,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,39,The thoughtful graddaughter sent,a thank you note.,target,target,send,hand,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,34,The entrepreneur showed the gadgets,to his friends.,prime,PO-diff,sell,show,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,34,The economist sold,his stock.,target,target,sell,show,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,12,The banker handed the cash,to the customer.,prime,PO-same,hand,lend,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,12,The scientist handed,a microscope to his friend.,target,target,hand,lend,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,24,The millionaire offered the struggling artist,some money.,prime,DO-same,offer,show,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,24,The explorer offered,to go to the North Pole.,target,target,offer,show,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,8,The hostess handed the dessert,to the customer.,prime,PO-same,hand,sell,exp1
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,0,NULL,dat,8,The newsagent handed,a sheet to the weather man.,target,target,hand,sell,exp1
