time,subject,controller,item,element,item_type,group,prime,completion,type,condition,exp
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,127,0,prime13,NULL,The officer confiscated the inheritance of the brothers who were,in prison.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,128,0,target13,NULL,The tourist noticed the altar of the worshippers that,was covered in blood.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,149,0,prime24,NULL,The assistant documented the journey of the anthropologists who were,exploring ruins.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,150,0,target24,NULL,The director resented the critics of the play that,bombed.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,121,0,prime10,NULL,The ruling impacted the village of the farmers who were,now poor.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,122,0,target10,NULL,Andrew spoke to the patrons of the supermarket that,were in line.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,129,0,prime14,NULL,The prophet addressed the concern of the believers who were,drifting away.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,130,0,target14,NULL,The photographer captured the vacation of the sisters that,went to Hawaii.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,185,0,prime42,NULL,The therapist analyzed the relationship of the spouses which was,falling apart.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,186,0,target42,NULL,The servants maintained the palace of the noblemen that,had moved.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,193,0,prime46,NULL,The electrician left the kitchen of the housemates which was,infested with rats.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,194,0,target46,NULL,The attorney sued the bosses of the institution that,screwed him over.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,183,0,prime41,NULL,The superstar boarded the yacht of the partygoers which was,sinking rapidly.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,184,0,target41,NULL,The teenager enjoyed the reunion of the relatives that,he had not seen in a while.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,177,0,prime38,NULL,The firm accepted the case of the clients which was,an easy win.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,178,0,target38,NULL,The historian explained the legacy of the forefathers that,had lived there.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,189,0,prime44,NULL,The shopper heard the tantrum of the children which was,very loud.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,190,0,target44,NULL,Austin praised the developers of the game that,did so well.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,133,0,prime16,NULL,The firemen left the house of the hippies who were,getting high.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,134,0,target16,NULL,The archeologist uncovered the cave of the Neanderthals that,was in Russia.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,131,0,prime15,NULL,The witness recognized the vehicle of the victims who were,on the stand.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,132,0,target15,NULL,The coach lost the trophy of the athletes that,won the game.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,107,0,prime3,NULL,We passed the property of the landowners who were,building a fence.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,108,0,target3,NULL,They increased the salary of the landscapers that,worked for them.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,117,0,prime8,NULL,The professor found the list of the students who were,failing.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,118,0,target8,NULL,The fans cheered for the recipients of the prize that,was won.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,195,0,prime47,NULL,The cast previewed the script of the playwrights which was,not good.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,196,0,target47,NULL,The collector approached the sellers of the antique that,was very expensive.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,123,0,prime11,NULL,The landlord reviewed the lease of the tenants who were,late on rent.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,124,0,target11,NULL,The secretary contacted the signers of the petition that,left their info.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,151,0,prime25,NULL,The publisher approved the work of the editors which was,superb.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,152,0,target25,NULL,The crowd surrounded the car of the friends that,were drunk.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,143,0,prime21,NULL,Maxwell approved the blueprint of the architects who were,drafting a buildong.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,144,0,target21,NULL,She graded the pupils of the school that,took the test.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,119,0,prime9,NULL,Everyone read the report of the scientists who were,in space.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,120,0,target9,NULL,Chris served the attendees of the party that,were drunk.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,109,0,prime4,NULL,Leo viewed the painting of the kings who were,very regal.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,110,0,target4,NULL,The FBI searched the boardroom of the executives that,committed a crime.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,187,0,prime43,NULL,The kingdom anticipated the return of the knights which was,long awaited.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,188,0,target43,NULL,The technician consulted the programmers of the code that,made up the game.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,145,0,prime22,NULL,Kurt set the schedule of the lawyers who were,on the case.,target,InAn-low,exp2
