"","curnum","ni","it","bf.new.null","boost.bigger"
"bf",200,48,1,541020005050.84,0.6985625
"bf",200,48,2,231.72173136275,0.99896875
"bf",200,48,3,14.4464500766124,1
"bf",200,48,4,0.0550905870274271,1
"bf",200,48,5,52997.010686422,0.99953125
"bf",200,48,6,364.223607901802,0.99975
"bf",200,48,7,597186.871663879,0.98803125
"bf",200,48,8,0.0455068232745308,1
"bf",200,48,9,0.236446824213298,1
"bf",300,48,9,46.2334075340787,1
"bf",200,48,10,1230.40866512364,0.99909375
"bf",200,48,11,122442.64566801,0.96703125
"bf",200,48,12,70.7278351975137,0.99996875
"bf",200,48,13,1.8465985516617,1
"bf",300,48,13,5.36837910843708,1
